league,Team,Conf/Div,Win Total,Over,Under,Imp P(Over),Imp P(Under),P(Over) devig,E[Wins],Brand,Popularity,Avg Capture,OOU Games,On-Field EV,Off-Field EV,IPO EV,Contested Off-Field %,Discount,Listed IPO
NCAA,James Madison,Sun Belt,8.5,-130,100,0.56521739130434778,0.5,0.53061224489795922,8.668979746692699,30,46.9,0.57909999999999995,1,43.344898733463495,18.425249999999998,61.770148733463493,0.25781466171818718,2.1901717212983736E-2,60.42
NCAA,SMU,ACC,8.5,-155,120,0.60784313725490191,0.45454545454545453,0.57214765100671139,8.9000580758988139,38,52.47,0.52569999999999995,1,44.500290379494068,16.95675,61.457040379494067,0.23523342339185732,2.0683544556517733E-2,60.19
NCAA,Utah,Big 12,8.5,-135,105,0.57446808510638303,0.48780487804878048,0.54079140205178311,8.7253409454810615,54,61.48,0.55620000000000003,1,43.626704727405311,17.795500000000001,61.422204727405315,0.24902232129051963,2.1427403601810491E-2,60.11
NCAA,LSU,SEC,8.5,-118,-110,0.54128440366972475,0.52380952380952384,0.50820344544708773,8.5452417628340847,85,79.48,0.56899999999999995,1,42.72620881417042,18.147499999999997,60.873708814170413,0.25704857326448149,2.1860389629737322E-2,59.54
NCAA,Navy,AAC,7.5,-200,150,0.66666666666666663,0.4,0.625,8.2010066007216249,38,50.14,0.58399999999999996,1,41.005033003608126,18.559999999999999,59.565033003608121,0.26962127258499419,2.2538639347883162E-2,58.22
NCAA,Texas A&M,SEC,8.5,100,-125,0.5,0.55555555555555558,0.47368421052631576,8.3547740127731505,78,74.650000000000006,0.55310000000000004,1,41.773870063865751,17.710250000000002,59.484120063865753,0.25570269819355751,2.1787784744800288E-2,58.19
NCAA,Liberty,CUSA,8.5,115,-145,0.46511627906976744,0.59183673469387754,0.44005388414907948,8.1681682770075348,28,44.03,0.58330000000000004,1,40.840841385037677,18.540750000000003,59.38159138503768,0.27013001211082016,2.2566083926903527E-2,58.04
NCAA,Kansas State,Big 12,8.5,-102,-125,0.50495049504950495,0.55555555555555558,0.47614107883817425,8.3683494875501943,50,57.89,0.54059999999999997,1,41.841747437750968,17.366500000000002,59.20824743775097,0.25108833048351931,2.1538857007090975E-2,57.93
NCAA,USC,Big Ten,8.5,105,-125,0.48780487804878048,0.55555555555555558,0.46753246753246752,8.3207570172664802,82,76.94,0.58389999999999997,0,41.603785086332401,17.516999999999999,59.120785086332404,0.2962917352065001,2.3977410235081785E-2,57.7
NCAA,South Florida,AAC,8.5,115,-145,0.46511627906976744,0.59183673469387754,0.44005388414907948,8.1681682770075348,30,45.23,0.55800000000000005,1,40.840841385037677,17.845000000000002,58.685841385037676,0.26147703837662462,2.2099288623307404E-2,57.39
NCAA,UNLV,Mountain West,7.5,-185,140,0.64912280701754388,0.41666666666666669,0.60905349794238683,8.109076539390438,28,43.83,0.56810000000000005,1,40.545382696952188,18.12275,58.668132696952185,0.26629022063304231,2.235894165608722E-2,57.36
NCAA,Michigan,Big Ten,8.5,140,-185,0.41666666666666669,0.64912280701754388,0.39094650205761317,7.8909234606095611,96,83.9,0.60629999999999995,1,39.454617303047804,19.173249999999999,58.627867303047807,0.28439120791851197,2.3335421663407609E-2,57.26
NCAA,Boise State,Pac-12,7.5,-160,125,0.61538461538461542,0.44444444444444442,0.58064516129032262,7.9477973093714702,42,51.69,0.58479999999999999,1,39.738986546857348,18.582000000000001,58.320986546857348,0.27574979355123042,2.2869249944067457E-2,56.99
NCAA,Clemson,ACC,7.5,-145,110,0.59183673469387754,0.47619047619047616,0.55414012738853502,7.7994825671783001,78,72.8,0.60870000000000002,1,38.997412835891502,19.239250000000002,58.236662835891508,0.28743491101422675,2.3499617967968879E-2,56.870000000000005
NCAA,Louisville,ACC,8.5,120,-150,0.45454545454545453,0.6,0.43103448275862072,8.1177696637940997,50,57.06,0.54720000000000002,1,40.588848318970498,17.548000000000002,58.1368483189705,0.25883756060250213,2.1956898750559076E-2,56.86
NCAA,New Mexico,Mountain West,7.5,-190,145,0.65517241379310343,0.40816326530612246,0.61614824619457309,8.1498362942268976,20,39.17,0.53859999999999997,1,40.749181471134492,17.311499999999999,58.060681471134487,0.25510379183826321,2.1755476005338798E-2,56.800000000000004
NCAA,Army,AAC,7.5,-145,115,0.59183673469387754,0.46511627906976744,0.55994611585092058,7.8318317229924643,38,48.91,0.57779999999999998,1,39.159158614962323,18.389499999999998,57.548658614962321,0.27610547982205824,2.2888437877126806E-2,56.230000000000004
NCAA,Ole Miss,SEC,7.5,-190,145,0.65517241379310343,0.40816326530612246,0.61614824619457309,8.1498362942268976,63,64.97,0.51749999999999996,1,40.749181471134492,16.731249999999999,57.480431471134494,0.24758425842969958,2.1349825533238068E-2,56.25
NCAA,Washington,Big Ten,7.5,-160,125,0.61538461538461542,0.44444444444444442,0.58064516129032262,7.9477973093714702,65,65.489999999999995,0.54449999999999998,1,39.738986546857348,17.473749999999999,57.212736546857343,0.26172056964512558,2.2112426216914768E-2,55.95
NCAA,Oklahoma,SEC,7.5,-145,115,0.59183673469387754,0.46511627906976744,0.55994611585092058,7.8318317229924643,83,75.91,0.55730000000000002,1,39.159158614962323,17.825749999999999,56.984908614962322,0.26894401294127851,2.2502103743972532E-2,55.7
NCAA,Houston,Big 12,8.5,120,-155,0.45454545454545453,0.60784313725490191,0.42785234899328861,8.0999419241011861,40,51,0.50760000000000005,1,40.499709620505932,16.459000000000003,56.958709620505935,0.24507226538317797,2.1214312980813638E-2,55.75
NCAA,Toledo,MAC,7.5,-130,100,0.56521739130434778,0.5,0.53061224489795922,7.6689797466926981,24,39.96,0.56010000000000004,1,38.344898733463488,17.902750000000001,56.247648733463492,0.27383811318030121,2.2766121996781529E-2,54.97
NCAA,Iowa,Big Ten,7.5,-145,110,0.59183673469387754,0.47619047619047616,0.55414012738853502,7.7994825671783001,62,63.2,0.53539999999999999,1,38.997412835891502,17.223500000000001,56.220912835891504,0.26188653398385414,2.2121379367156836E-2,54.980000000000004
NCAA,Pittsburgh,ACC,7.5,-155,120,0.60784313725490191,0.45454545454545453,0.57214765100671139,7.9000580758988148,40,50.33,0.51500000000000001,1,39.500290379494075,16.662500000000001,56.162790379494076,0.25216873848865873,2.1597140944874547E-2,54.95
NCAA,Virginia,ACC,7.5,-160,125,0.61538461538461542,0.44444444444444442,0.58064516129032262,7.9477973093714702,36,48.09,0.50319999999999998,1,39.738986546857348,16.338000000000001,56.076986546857349,0.2467678962819643,2.1305785873775043E-2,54.88
NCAA,Tennessee,SEC,7.5,-115,-115,0.53488372093023251,0.53488372093023251,0.5,7.5,84,75.400000000000006,0.55559999999999998,1,37.5,17.779,55.278999999999996,0.2763979087899564,2.2904213317229079E-2,54.01
NCAA,Memphis,AAC,7.5,-110,-115,0.52380952380952384,0.53488372093023251,0.4947698744769875,7.4711572166299209,32,44.1,0.55159999999999998,1,37.355786083149603,17.669,55.024786083149607,0.27567576504664043,2.2865256385397763E-2,53.77
NCAA,UTSA,AAC,7.5,-125,-105,0.55555555555555558,0.51219512195121952,0.52030456852791884,7.6120195979133776,24,39.770000000000003,0.52510000000000001,1,38.060097989566884,16.940250000000002,55.00034798956689,0.26254833883485967,2.2157081243278996E-2,53.78
NCAA,Old Dominion,Sun Belt,7.5,-120,-110,0.54545454545454541,0.52380952380952384,0.51012145748987858,7.5558215985464079,22,38.39,0.52769999999999995,1,37.779107992732037,17.011749999999999,54.790857992732036,0.26485714098371982,2.2281632412983976E-2,53.57
NCAA,Hawaii,Mountain West,7.5,100,-125,0.5,0.55555555555555558,0.47368421052631576,7.3547740127731505,26,40.119999999999997,0.54490000000000005,1,36.773870063865751,17.484750000000002,54.258620063865749,0.27617270734792049,2.2892064548639846E-2,53.02
NCAA,North Carolina State,ACC,7.5,100,-130,0.5,0.56521739130434778,0.46938775510204089,7.3310202533073028,48,53.24,0.52939999999999998,1,36.655101266536512,17.058499999999999,53.713601266536514,0.27103935794135481,2.2615139705422858E-2,52.5
NCAA,Marshall,Sun Belt,7.5,105,-135,0.48780487804878048,0.57446808510638303,0.45920859794821689,7.2746590545189376,26,39.85,0.5373,1,36.373295272594689,17.275750000000002,53.649045272594691,0.27541496637868101,2.2851187280702984E-2,52.42
NCAA,Jacksonville State,CUSA,7.5,105,-135,0.48780487804878048,0.57446808510638303,0.45920859794821689,7.2746590545189376,20,36.25,0.53300000000000003,1,36.373295272594689,17.157500000000002,53.530795272594688,0.27381435163366552,2.2764840150942579E-2,52.31
NCAA,Miami Ohio,MAC,7.5,110,-145,0.47619047619047616,0.59183673469387754,0.44585987261146492,7.2005174328216999,22,37.200000000000003,0.54159999999999997,1,36.002587164108498,17.393999999999998,53.396587164108496,0.27893168442067168,2.3040900957931154E-2,52.17
NCAA,Tulane,AAC,7.5,120,-150,0.45454545454545453,0.6,0.43103448275862072,7.1177696637940997,32,42.93,0.54469999999999996,1,35.588848318970498,17.47925,53.068098318970499,0.28226468395317078,2.3220703714353516E-2,51.84
